primary_genre,game_count,average_positive_review_rate,average_price,median_estimated_owners_midpoint
Action,37452,61.37509959414717,8.826885346576953,10000.0
Adventure,22864,59.30493045836249,8.987148792862142,10000.0
Casual,18229,54.17675846179165,6.473894344176861,10000.0
Indie,4299,63.87052337752966,11.249002093510118,10000.0
Simulation,1564,56.821515345268544,17.268650895140663,10000.0
RPG,1334,56.06915292353823,14.288103448275864,10000.0
Strategy,667,64.11686656671664,12.028965517241378,10000.0
Free to Play,129,70.4106976744186,1.3090697674418605,35000.0
Racing,111,58.57432432432432,20.978918918918918,10000.0
Massively Multiplayer,32,64.215,13.8765625,10000.0
Sports,13,40.33692307692308,18.855384615384615,10000.0
Violent,2,78.12,0.0,10000.0
